,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"2. Viviendas particulares ocupadas con moradores presentes por cantidad de dormitorios, según comuna.",,,,,,,,,,,,,,
Código región,Región,Código provincia,Provincia,Código comuna,Comuna,Viviendas particulares ocupadas con moradores presentes,0 dormitorios,1 dormitorio,2 dormitorios,3 dormitorios,4 dormitorios,5 dormitorios,6 o más dormitorios,Cantidad de dormitorios no declarado
6,Libertador General Bernardo O'Higgins,63,Colchagua,6309,Pumanque,1.752,8,300,685,508,175,57,18,1
6,Libertador General Bernardo O'Higgins,63,Colchagua,6310,Santa Cruz,14.412,21,3.919,5.634,3.657,958,164,59,0
7,Maule,71,Talca,7101,Talca,82.742,170,18.989,31.720,24.081,6.315,1.130,334,3
7,Maule,71,Talca,7102,Constitución,17.374,27,4.909,6.651,4.556,995,182,53,1
7,Maule,71,Talca,7103,Curepto,3.749,2,1.166,1.431,815,244,59,32,0
7,Maule,71,Talca,7104,Empedrado,1.458,3,365,595,353,110,29,3,0
7,Maule,71,Talca,7105,Maule,20.162,38,4.651,8.053,5.866,1.306,197,47,4
7,Maule,71,Talca,7106,Pelarco,3.191,5,829,1.257,819,227,41,13,0
7,Maule,71,Talca,7107,Pencahue,3.387,7,1.091,1.346,707,194,30,12,0
7,Maule,71,Talca,7108,Río Claro,5.054,5,1.133,2.102,1.335,383,70,26,0
7,Maule,71,Talca,7109,San Clemente,16.376,30,4.630,6.595,3.966,917,181,55,2
7,Maule,71,Talca,7110,San Rafael,3.884,9,765,1.551,1.101,353,83,22,0
7,Maule,72,Cauquenes,7201,Cauquenes,16.032,37,4.564,6.915,3.575,756,147,35,3
7,Maule,72,Cauquenes,7202,Chanco,3.434,5,885,1.316,906,265,37,19,1
7,Maule,72,Cauquenes,7203,Pelluhue,3.450,6,1.186,1.265,741,198,37,14,3
7,Maule,73,Curicó,7301,Curicó,55.895,102,14.677,21.308,15.572,3.477,574,183,2
7,Maule,73,Curicó,7302,Hualañé,4.002,14,1.222,1.497,982,235,38,13,1
7,Maule,73,Curicó,7303,Licantén,2.615,4,763,993,637,162,44,12,0
7,Maule,73,Curicó,7304,Molina,16.943,29,4.817,6.915,4.077,938,127,40,0
7,Maule,73,Curicó,7305,Rauco,3.999,6,1.075,1.589,1.044,229,42,14,0
7,Maule,73,Curicó,7306,Romeral,5.997,16,1.465,2.447,1.612,366,68,23,0
7,Maule,73,Curicó,7307,Sagrada Familia,6.653,10,1.845,2.588,1.658,447,81,24,0
7,Maule,73,Curicó,7308,Teno,10.548,18,2.720,4.132,2.762,739,146,31,0
7,Maule,73,Curicó,7309,Vichuquén,1.875,1,510,737,462,123,36,6,0
7,Maule,74,Linares,7401,Linares,34.636,84,7.299,14.097,10.396,2.288,371,97,4
7,Maule,74,Linares,7402,Colbún,8.137,17,2.333,3.250,1.993,446,79,19,0
7,Maule,74,Linares,7403,Longaví,11.818,15,3.765,4.798,2.577,539,93,31,0
7,Maule,74,Linares,7404,Parral,16.856,41,5.269,6.723,3.841,792,160,30,0
7,Maule,74,Linares,7405,Retiro,8.153,11,2.545,3.312,1.826,366,78,15,0
7,Maule,74,Linares,7406,San Javier,17.851,43,5.049,7.164,4.402,963,177,51,2
7,Maule,74,Linares,7407,Villa Alegre,6.611,20,2.141,2.675,1.363,333,58,20,1
7,Maule,74,Linares,7408,Yerbas Buenas,6.998,14,1.875,2.810,1.824,390,67,17,1
