,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
"2. Viviendas censadas por tipo de vivienda, según comuna.",,,,,,,,,,,,,,,,
Código región,Región,Código provincia,Provincia,Código comuna,Comuna,Viviendas censadas,Casa con acceso directo desde la calle,Casa en condominio cerrado,Departamento en edificio con ascensor,Departamento en edificio sin ascensor,Vivienda tradicional indígena (ruka u otras),Pieza en casa antigua o conventillo,"Mediagua, mejora, vivienda de emergencia, rancho o choza","Móvil (carpa, casa rodante o similar)",Otro tipo de vivienda particular,Viviendas Colectivas
13,Metropolitana de Santiago,134,Maipo,13403,Calera de Tango,8.406,6.213,2.107,2,0,0,23,15,7,32,7
13,Metropolitana de Santiago,134,Maipo,13404,Paine,30.818,26.043,3.847,8,368,1,21,46,8,454,22
13,Metropolitana de Santiago,135,Melipilla,13501,Melipilla,52.240,44.922,3.206,36,3.440,3,122,102,9,374,26
13,Metropolitana de Santiago,135,Melipilla,13502,Alhué,3.316,3.223,7,3,1,0,61,5,0,11,5
13,Metropolitana de Santiago,135,Melipilla,13503,Curacaví,14.226,11.401,2.617,4,71,0,18,34,2,71,8
13,Metropolitana de Santiago,135,Melipilla,13504,María Pinto,5.881,5.329,468,3,2,0,4,3,0,71,1
13,Metropolitana de Santiago,135,Melipilla,13505,San Pedro,5.360,5.035,293,0,1,1,3,4,1,20,2
13,Metropolitana de Santiago,136,Talagante,13601,Talagante,27.535,20.417,4.864,36,1.848,4,19,156,5,173,13
13,Metropolitana de Santiago,136,Talagante,13602,El Monte,13.374,10.862,1.786,12,591,0,12,65,1,28,17
13,Metropolitana de Santiago,136,Talagante,13603,Isla de Maipo,14.531,12.715,1.658,4,0,0,36,18,2,85,13
13,Metropolitana de Santiago,136,Talagante,13604,Padre Hurtado,28.793,22.244,5.013,12,1.352,1,44,47,3,65,12
13,Metropolitana de Santiago,136,Talagante,13605,Peñaflor,33.046,21.574,8.591,16,2.587,9,18,84,8,136,23
6,Libertador General Bernardo O'Higgins,61,Cachapoal,6101,Rancagua,100.428,72.356,2.285,6.559,18.210,15,450,309,8,184,52
6,Libertador General Bernardo O'Higgins,61,Cachapoal,6102,Codegua,5.181,4.653,489,3,0,1,3,12,1,14,5
6,Libertador General Bernardo O'Higgins,61,Cachapoal,6103,Coinco,3.386,2.984,329,1,36,0,2,12,0,21,1
6,Libertador General Bernardo O'Higgins,61,Cachapoal,6104,Coltauco,8.586,8.462,51,3,1,1,1,39,1,23,4
6,Libertador General Bernardo O'Higgins,61,Cachapoal,6105,Doñihue,8.381,8.083,196,1,48,0,4,21,2,20,6
6,Libertador General Bernardo O'Higgins,61,Cachapoal,6106,Graneros,12.964,11.553,960,2,367,0,28,21,2,26,5
6,Libertador General Bernardo O'Higgins,61,Cachapoal,6107,Las Cabras,14.760,11.479,3.009,3,132,3,31,51,5,39,8
6,Libertador General Bernardo O'Higgins,61,Cachapoal,6108,Machalí,22.681,19.369,2.731,26,312,0,15,95,2,122,9
